Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.030467617,.000552095,13.031019712
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1074.311451764,.000507193,1074.311958957
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.063895037,.000509941,58.064404978
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.204550648,.000505041,65.205055689
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.280467921,.000681144,210.281149065
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3347.902970131,.000557635,3347.903527766
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3410.172598948,.002836482,3410.175435430
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.279564453,.000514124,35.280078577
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.030467617,.000552095,13.031019712
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1074.311451764,.000507193,1074.311958957
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.063895037,.000509941,58.064404978
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.204550648,.000505041,65.205055689
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.280467921,.000681144,210.281149065
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3347.902970131,.000557635,3347.903527766
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3410.172598948,.002836482,3410.175435430
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.279564453,.000514124,35.280078577
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.030467617,.000552095,13.031019712
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1074.311451764,.000507193,1074.311958957
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.063895037,.000509941,58.064404978
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.204550648,.000505041,65.205055689
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.280467921,.000681144,210.281149065
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3347.902970131,.000557635,3347.903527766
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3410.172598948,.002836482,3410.175435430
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.279564453,.000514124,35.280078577
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.030467617,.000552095,13.031019712
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1074.311451764,.000507193,1074.311958957
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.063895037,.000509941,58.064404978
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.204550648,.000505041,65.205055689
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.280467921,.000681144,210.281149065
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3347.902970131,.000557635,3347.903527766
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3410.172598948,.002836482,3410.175435430
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.279564453,.000514124,35.280078577
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.030467617,.000552095,13.031019712
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1074.311451764,.000507193,1074.311958957
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.063895037,.000509941,58.064404978
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.204550648,.000505041,65.205055689
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.280467921,.000681144,210.281149065
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3347.902970131,.000557635,3347.903527766
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3410.172598948,.002836482,3410.175435430
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.279564453,.000514124,35.280078577
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.030467617,.000552095,13.031019712
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1074.311451764,.000507193,1074.311958957
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.063895037,.000509941,58.064404978
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.204550648,.000505041,65.205055689
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.280467921,.000681144,210.281149065
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3347.902970131,.000557635,3347.903527766
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3410.172598948,.002836482,3410.175435430
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.279564453,.000514124,35.280078577
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.030467617,.000552095,13.031019712
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1074.311451764,.000507193,1074.311958957
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.063895037,.000509941,58.064404978
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.204550648,.000505041,65.205055689
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.280467921,.000681144,210.281149065
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3347.902970131,.000557635,3347.903527766
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3410.172598948,.002836482,3410.175435430
automake-repack,436715292,60551469,179600,60731069,7.2122,7.1909,35.279564453,.000514124,35.280078577
coreutils-repack,240412678,18938392,234732,19173124,12.6944,12.5390,13.030467617,.000552095,13.031019712
gcc-repack,40468435629,2100648244,13144585,2113792829,19.2647,19.1449,1074.311451764,.000507193,1074.311958957
react-repack,2886518499,85623171,1084244,86707415,33.7118,33.2903,58.063895037,.000509941,58.064404978
netty-repack,2332724103,48616204,428313,49044517,47.9824,47.5634,65.204550648,.000505041,65.205055689
Cpython-repack,10093334224,501494388,604849,502099237,20.1265,20.1022,210.280467921,.000681144,210.281149065
linux-repack,205211416948,6016971130,8750495,6025721625,34.1054,34.0559,3347.902970131,.000557635,3347.903527766
WEB-repack,299875782605,1441253968,6373082,1447627050,208.0658,207.1498,3410.172598948,.002836482,3410.175435430
