Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.195265092,0,14.195265092
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1196.779941794,0,1196.779941794
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,61.525732936,0,61.525732936
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.460311683,0,68.460311683
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,249.478924187,0,249.478924187
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.539086632,0,3700.539086632
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3841.220773675,0,3841.220773675
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,36.796483059,0,36.796483059
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.195265092,0,14.195265092
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1196.779941794,0,1196.779941794
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,61.525732936,0,61.525732936
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.460311683,0,68.460311683
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,249.478924187,0,249.478924187
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.539086632,0,3700.539086632
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3841.220773675,0,3841.220773675
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,36.796483059,0,36.796483059
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.195265092,0,14.195265092
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1196.779941794,0,1196.779941794
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,61.525732936,0,61.525732936
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.460311683,0,68.460311683
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,249.478924187,0,249.478924187
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.539086632,0,3700.539086632
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3841.220773675,0,3841.220773675
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,35.138419792,0,35.138419792
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.217455570,0,14.217455570
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1197.051388689,0,1197.051388689
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.415348047,0,60.415348047
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.302595309,0,68.302595309
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.233847425,0,248.233847425
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.975598709,0,3700.975598709
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3830.785392294,0,3830.785392294
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,35.138419792,0,35.138419792
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.217455570,0,14.217455570
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1197.051388689,0,1197.051388689
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.415348047,0,60.415348047
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.302595309,0,68.302595309
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.233847425,0,248.233847425
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.975598709,0,3700.975598709
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3830.785392294,0,3830.785392294
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,35.138419792,0,35.138419792
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.217455570,0,14.217455570
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1197.051388689,0,1197.051388689
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.415348047,0,60.415348047
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.302595309,0,68.302595309
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.233847425,0,248.233847425
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.975598709,0,3700.975598709
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3830.785392294,0,3830.785392294
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,35.138419792,0,35.138419792
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.217455570,0,14.217455570
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1197.051388689,0,1197.051388689
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.415348047,0,60.415348047
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.302595309,0,68.302595309
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.233847425,0,248.233847425
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.975598709,0,3700.975598709
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3830.785392294,0,3830.785392294
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,35.138419792,0,35.138419792
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.217455570,0,14.217455570
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1197.051388689,0,1197.051388689
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.415348047,0,60.415348047
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.302595309,0,68.302595309
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.233847425,0,248.233847425
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.975598709,0,3700.975598709
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3830.785392294,0,3830.785392294
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,35.138419792,0,35.138419792
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.217455570,0,14.217455570
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1197.051388689,0,1197.051388689
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.415348047,0,60.415348047
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.302595309,0,68.302595309
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.233847425,0,248.233847425
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.975598709,0,3700.975598709
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3830.785392294,0,3830.785392294
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,35.138419792,0,35.138419792
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.217455570,0,14.217455570
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1197.051388689,0,1197.051388689
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.415348047,0,60.415348047
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.302595309,0,68.302595309
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.233847425,0,248.233847425
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.975598709,0,3700.975598709
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3830.785392294,0,3830.785392294
automake-default,436715292,44708968,167335,44876303,9.7679,9.7315,35.138419792,0,35.138419792
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.217455570,0,14.217455570
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1197.051388689,0,1197.051388689
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.415348047,0,60.415348047
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.302595309,0,68.302595309
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.233847425,0,248.233847425
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3700.975598709,0,3700.975598709
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3830.785392294,0,3830.785392294
